Datetime,Water Level (m)
2024-09-07 18:00:00,0.054096986
2024-09-07 19:00:00,0.2640187
2024-09-07 20:00:00,0.48638642
2024-09-07 21:00:00,0.7410683
2024-09-07 22:00:00,0.9479857
2024-09-07 23:00:00,1.0419447
2024-09-08 00:00:00,0.9737233
2024-09-08 01:00:00,0.8073239
2024-09-08 02:00:00,0.6148539
2024-09-08 03:00:00,0.42349783
2024-09-08 04:00:00,0.24298823
2024-09-08 05:00:00,0.10624262
2024-09-08 06:00:00,0.15086184
2024-09-08 07:00:00,0.37696993
2024-09-08 08:00:00,0.6085331
2024-09-08 09:00:00,0.85776573
2024-09-08 10:00:00,1.0561445
2024-09-08 11:00:00,1.1197577
2024-09-08 12:00:00,1.0319282
2024-09-08 13:00:00,0.8575413
2024-09-08 14:00:00,0.6660571
2024-09-08 15:00:00,0.47541755
2024-09-08 16:00:00,0.29812115
2024-09-08 17:00:00,0.15288894
2024-09-08 18:00:00,0.10951473
2024-09-08 19:00:00,0.30875596
2024-09-08 20:00:00,0.524031
2024-09-08 21:00:00,0.77141374
2024-09-08 22:00:00,1.0079056
2024-09-08 23:00:00,1.1622487
2024-09-09 00:00:00,1.1590369
2024-09-09 01:00:00,1.024612
2024-09-09 02:00:00,0.8408924
2024-09-09 03:00:00,0.6562205
2024-09-09 04:00:00,0.48296767
2024-09-09 05:00:00,0.34440422
2024-09-09 06:00:00,0.29803562
2024-09-09 07:00:00,0.45442715
2024-09-09 08:00:00,0.6499005
2024-09-09 09:00:00,0.86781794
2024-09-09 10:00:00,1.0800793
2024-09-09 11:00:00,1.2142726
2024-09-09 12:00:00,1.1982619
2024-09-09 13:00:00,1.0561236
2024-09-09 14:00:00,0.86529136
2024-09-09 15:00:00,0.6744859
2024-09-09 16:00:00,0.49280217
2024-09-09 17:00:00,0.33808798
2024-09-09 18:00:00,0.24960381
2024-09-09 19:00:00,0.36247745
2024-09-09 20:00:00,0.54568434
2024-09-09 21:00:00,0.7539358
2024-09-09 22:00:00,0.9702345
2024-09-09 23:00:00,1.1393534
2024-09-10 00:00:00,1.2014939
2024-09-10 01:00:00,1.1201196
2024-09-10 02:00:00,0.96201783
2024-09-10 03:00:00,0.788253
2024-09-10 04:00:00,0.61960053
2024-09-10 05:00:00,0.47310227
2024-09-10 06:00:00,0.37162918
2024-09-10 07:00:00,0.39389262
2024-09-10 08:00:00,0.55312127
2024-09-10 09:00:00,0.72202104
2024-09-10 10:00:00,0.89273226
2024-09-10 11:00:00,1.0328281
2024-09-10 12:00:00,1.0712296
2024-09-10 13:00:00,0.98453265
2024-09-10 14:00:00,0.8376442
2024-09-10 15:00:00,0.6777592
2024-09-10 16:00:00,0.52105606
2024-09-10 17:00:00,0.3809375
2024-09-10 18:00:00,0.27125666
2024-09-10 19:00:00,0.24918321
2024-09-10 20:00:00,0.3857653
2024-09-10 21:00:00,0.55895716
2024-09-10 22:00:00,0.7469325
2024-09-10 23:00:00,0.9288484
2024-09-11 00:00:00,1.0605222
2024-09-11 01:00:00,1.0809426
2024-09-11 02:00:00,0.9901741
2024-09-11 03:00:00,0.85369337
2024-09-11 04:00:00,0.70818764
2024-09-11 05:00:00,0.57263756
2024-09-11 06:00:00,0.4626547
2024-09-11 07:00:00,0.40364632
2024-09-11 08:00:00,0.44755226
2024-09-11 09:00:00,0.5673392
2024-09-11 10:00:00,0.7006591
2024-09-11 11:00:00,0.816299
2024-09-11 12:00:00,0.8912383
2024-09-11 13:00:00,0.87922055
2024-09-11 14:00:00,0.7869044
2024-09-11 15:00:00,0.66483283
2024-09-11 16:00:00,0.5312382
2024-09-11 17:00:00,0.40436694
2024-09-11 18:00:00,0.28960553
2024-09-11 19:00:00,0.20953082
2024-09-11 20:00:00,0.2058735
2024-09-11 21:00:00,0.32728493
2024-09-11 22:00:00,0.47755527
2024-09-11 23:00:00,0.6445762
2024-09-12 00:00:00,0.7963174
2024-09-12 01:00:00,0.9160868
2024-09-12 02:00:00,0.9607672
2024-09-12 03:00:00,0.9100564
2024-09-12 04:00:00,0.8128344
2024-09-12 05:00:00,0.6984138
2024-09-12 06:00:00,0.58611184
2024-09-12 07:00:00,0.48998898
2024-09-12 08:00:00,0.4198717
2024-09-12 09:00:00,0.3977374
2024-09-12 10:00:00,0.44880173
2024-09-12 11:00:00,0.53603345
2024-09-12 12:00:00,0.6379528
2024-09-12 13:00:00,0.7224174
2024-09-12 14:00:00,0.75773364
2024-09-12 15:00:00,0.72204906
2024-09-12 16:00:00,0.6425755
2024-09-12 17:00:00,0.5424136
2024-09-12 18:00:00,0.43655708
2024-09-12 19:00:00,0.3330809
2024-09-12 20:00:00,0.24534692
2024-09-12 21:00:00,0.19964837
2024-09-12 22:00:00,0.24147317
2024-09-12 23:00:00,0.36099848
2024-09-13 00:00:00,0.5109929
2024-09-13 01:00:00,0.6789186
2024-09-13 02:00:00,0.8320965
2024-09-13 03:00:00,0.9490389
2024-09-13 04:00:00,0.9860601
2024-09-13 05:00:00,0.9281545
2024-09-13 06:00:00,0.81959563
2024-09-13 07:00:00,0.6921909
2024-09-13 08:00:00,0.56785935
2024-09-13 09:00:00,0.45055708
2024-09-13 10:00:00,0.3616341
2024-09-13 11:00:00,0.31935364
2024-09-13 12:00:00,0.37340257
2024-09-13 13:00:00,0.490009
2024-09-13 14:00:00,0.62971306
2024-09-13 15:00:00,0.7529881
2024-09-13 16:00:00,0.8236173
2024-09-13 17:00:00,0.8073498
2024-09-13 18:00:00,0.72720253
